"Countries, territories and areas",descrpcion,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2001,2004,2003,2002,2000,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,2005,1999,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1961,2021,1963,1962,1960,1959,1958,1957,1956,1955,1954,1953,1952
Afghanistan,Medical doctors (per 10 000 population),2.535,2.14,3.038,2.453,2.842,2.906,3.043,2.912,2.469,2.593,2.448,2.204,1.829,1.823,1.659,2.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Medical doctors (number),9880,8082,11144,8744,9842,9808,9954,9184,7521,7584,6901,6037,4834,4723,4220,4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Generalist medical practitioners (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Specialist medical practitioners (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Medical doctors not further defined (number),9880,8082,11144,8744,9842,9808,9954,9184,7521,7584,6901,6037,4834,4723,4220,4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Medical doctors (per 10 000 population),18.826,16.511,21.627,,12.186,,,12.847,12.779,12.335,12.494,12.476,,12.184,12.073,13.001,12.078,11.959,11.704,13.592,13.381,13.228,13.077,12.922,12.848,13.679,15.934,14.515,13.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Medical doctors (number),5397,4745,6222,,3511,,,3709,3696,3578,3640,3656,,3626,3626,4100,3699,3699,3656,4325,4325,4304,4278,4244,4232,4515,5264,4793,4516,4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Generalist medical practitioners (number),2081,2016,,,,,,1622,1603,1540,1620,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Specialist medical practitioners (number),3316,2729,,,,,,2087,2093,2038,2020,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Medical doctors not further defined (number),,,6222,,3511,,,,,,,,,3626,3626,4100,3699,3699,3656,4325,4325,4304,4278,4244,4232,4515,5264,4793,4516,4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Medical doctors (per 10 000 population),,,17.317,,18.421,,,,,,,,,12.022,,,,,11.184,,,,,,,,,,,,10.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Medical doctors (number),,,72604,,74309,,,,,,,,,40857,,,,,35368,,,,,,,,,,,,33952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Generalist medical practitioners (number),,,32774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Specialist medical practitioners (number),,,39830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Medical doctors not further defined (number),,,,,74309,,,,,,,,,40857,,,,,35368,,,,,,,,,,,,33952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Medical doctors (per 10 000 population),,,,,,36.262,,,,,,35.995,,31.841,30.424,25.811,31.079,33.018,28.672,25.416,24.847,24.42,,22.734,,,,,,,31.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Medical doctors (number),,,,,,260,,,,,,266,,249,244,175,239,244,203,168,162,158,,143,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Generalist medical practitioners (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Specialist medical practitioners (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Medical doctors not further defined (number),,,,,,260,,,,,,266,,249,244,175,239,244,203,168,162,158,,143,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Medical doctors (per 10 000 population),,,2.108,2.119,,,,,,,,1.313,,,,,0.621,,,,,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Medical doctors (number),,,6593,6400,,,,,,,,2956,,,,,1165,,,,,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Generalist medical practitioners (number),,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Specialist medical practitioners (number),,,3550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Medical doctors not further defined (number),,,,6400,,,,,,,,2956,,,,,1165,,,,,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Medical doctors (per 10 000 population),,,,28.979,,,,,,,,,5.402,17.561,,,,,,,,,,,,,,,,,,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Medical doctors (number),,,,264,,,,,,,,,45,144,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Generalist medical practitioners (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Specialist medical practitioners (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Medical doctors not further defined (number),,,,264,,,,,,,,,45,144,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Medical doctors (per 10 000 population),38.951,,,39.794,39.867,39.732,,,,,,,,,,,,,,,30.028,,,,,,26.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Medical doctors (number),175419,,,175313,174092,171870,,,,,,,,,,,,,,,108800,,,,,,88800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Generalist medical practitioners (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Specialist medical practitioners (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Medical doctors not further defined (number),175419,,,175313,174092,171870,,,,,,,,,,,,,,,108800,,,,,,88800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
